thumbDist, fingerDist, time
0.0751347,0.1225092,5.118643
0.0751347,0.1225092,5.135241
0.08120976,0.1307655,5.151735
0.08120976,0.1307655,5.1683
0.08324893,0.1231198,5.184778
0.08324893,0.1231198,5.20163
0.07769422,0.1257506,5.218148
0.07769422,0.1257506,5.234568
0.07825625,0.12805,5.251231
0.07825625,0.1378549,5.267863
0.07534658,0.1240838,5.284205
0.07534658,0.1240838,5.300864
0.0948423,0.1250044,5.31733
0.0948423,0.1250044,5.334334
0.0948423,0.1250044,5.35645
0.07142049,0.1212747,5.367223
0.08468813,0.12774,5.383783
0.08468813,0.12774,5.400489
0.08468813,0.12774,5.417116
0.0860968,0.1256961,5.433371
0.0860968,0.1256961,5.449898
0.08566514,0.1310853,5.466457
0.08566514,0.1310853,5.483069
0.1219491,0.1415423,5.499587
0.1219491,0.1415423,5.516161
0.1325974,0.1603986,5.534072
0.1325974,0.1603986,5.549777
0.1432005,0.1615133,5.565857
0.1432005,0.1615133,5.582592
0.1485153,0.164315,5.599531
0.1485153,0.164315,5.615705
0.1463239,0.1604993,5.632328
0.1463239,0.1604993,5.648735
0.1472893,0.1690376,5.665238
0.1472893,0.1690376,5.682513
0.1408026,0.1661694,5.698569
0.1408026,0.1661694,5.715185
0.1434411,0.1653466,5.73168
0.1434411,0.1653466,5.748269
0.1522491,0.1671814,5.765445
0.1522491,0.1671814,5.781449
0.1427077,0.1604256,5.798146
0.1427077,0.1604256,5.81436
0.1433598,0.162634,5.831257
0.1433598,0.162634,5.847798
0.1449793,0.1587763,5.864675
0.1449793,0.1587763,5.880752
0.1485887,0.1554571,5.89764
0.1485887,0.1554571,5.913772
0.1505013,0.1523859,5.930355
0.1505013,0.1523859,5.947224
0.1462825,0.1392142,5.963519
0.1462825,0.1392142,5.980029
0.1475834,0.1404966,5.996672
0.1475834,0.1404966,6.013257
0.1445678,0.1458336,6.029954
0.1445678,0.1458336,6.046453
0.1443321,0.14711,6.063386
0.1443321,0.14711,6.079421
0.1398079,0.1510031,6.096423
0.1398079,0.1510031,6.113361
0.143742,0.1606859,6.129099
0.143742,0.1606859,6.14569
0.1439509,0.1587345,6.16265
0.1439509,0.1587345,6.179919
0.1500265,0.1329914,6.195372
0.1500265,0.1329914,6.211956
0.1594593,0.1249647,6.228516
0.1594593,0.1249647,6.245211
0.1543813,0.1208656,6.261635
0.1543813,0.1208656,6.278314
0.1181687,0.1139165,6.295324
0.1181687,0.1139165,6.311556
0.1305166,0.1497573,6.327929
0.1305166,0.1497573,6.344652
0.1317187,0.154409,6.361043
0.1317187,0.154409,6.37793
0.1309103,0.1477109,6.394179
0.1309103,0.1477109,6.410763
0.1316016,0.1575502,6.427348
0.1316016,0.1575502,6.443873
0.1298458,0.1452859,6.460553
0.1298458,0.1452859,6.477036
0.1347061,0.1646708,6.493582
0.1347061,0.1646708,6.510908
0.1344951,0.1506431,6.527127
0.1344951,0.1506431,6.543286
0.1412611,0.1587319,6.559915
0.1570858,0.1728014,6.576476
0.1310034,0.1652606,6.59298
0.1310034,0.1652606,6.613591
0.1328203,0.1578778,6.626676
0.1328203,0.1578778,6.643201
0.1404764,0.1600726,6.659266
0.1404764,0.1600726,6.675978
0.1380257,0.1534434,6.692376
0.1380257,0.1534434,6.708961
0.1340193,0.1621712,6.725511
0.1340193,0.1621712,6.742084
0.1359014,0.1572302,6.75875
0.1359014,0.1572302,6.775247
0.137209,0.1713878,6.792358
0.137209,0.1713878,6.808362
0.1418534,0.1534401,6.824891
0.1418534,0.1534401,6.841691
0.1364629,0.155325,6.858033
0.1364629,0.155325,6.874654
0.134032,0.1630532,6.891594
0.134032,0.1630532,6.90778
0.1365764,0.1603611,6.924608
0.1365764,0.1603611,6.940939
0.1345624,0.1616659,6.958276
0.1345624,0.1616659,6.97434
0.1385249,0.1569545,6.99063
0.1385249,0.1569545,7.007304
0.1330934,0.1616257,7.023685
0.1823383,0.1833431,7.04055
0.1299773,0.1459825,7.057345
0.1299773,0.1459825,7.073461
0.1340729,0.1588486,7.089963
0.1340729,0.1588486,7.106566
0.1317316,0.1630094,7.123091
0.1317316,0.1630094,7.139693
0.1301893,0.1556684,7.156266
0.1301893,0.1556684,7.173375
0.1321742,0.1561507,7.18959
0.1321742,0.1561507,7.206017
